date,turb,Q
8/3/2014,3.014583333,405.9208333
8/4/2014,2.883854167,398.76
8/5/2014,2.79125,408.4973958
8/6/2014,2.807291667,410.8048958
8/7/2014,2.830208333,416.78625
8/8/2014,2.872916667,441.6586458
8/9/2014,3.120416667,435.8153125
8/10/2014,2.832395833,405.4964583
8/11/2014,2.690625,403.5329167
8/12/2014,2.953125,411.3685417
8/13/2014,4.765625,657.6876042
8/14/2014,4.526041667,544.1844792
8/15/2014,3.141666667,490.5627083
8/16/2014,3.130208333,492.80125
8/17/2014,2.833854167,493.6685417
8/18/2014,2.853645833,478.9848958
8/19/2014,2.841666667,459.4796875
8/20/2014,2.6875,446.8385417
8/21/2014,2.788541667,444.3422917
8/22/2014,2.803645833,439.815625
8/23/2014,2.983958333,428.1271875
8/24/2014,2.7703125,424.5513542
8/25/2014,2.829166667,420.3135417
8/26/2014,2.935520833,411.1704167
8/27/2014,2.898958333,408.8213542
8/28/2014,2.9,411.171875
8/29/2014,2.882291667,412.1446875
8/30/2014,3.014583333,440.7779167
8/31/2014,3.797916667,543.0611458
9/1/2014,3.188541667,469.085625
9/2/2014,3.115625,461.933125
9/3/2014,3.773958333,493.5904167
9/4/2014,3.184375,478.4642708
9/5/2014,3.106770833,472.7873958
9/6/2014,3.141666667,468.18
9/7/2014,3.285416667,438.3547917
9/8/2014,3.2125,417.733125
9/9/2014,3.286458333,426.0595833
9/10/2014,3.283333333,419.2284375
9/11/2014,3.275520833,409.6395833
9/12/2014,3.279166667,424.9491667
9/13/2014,3.192708333,427.1208333
9/14/2014,3.247916667,433.9276042
9/15/2014,3.2625,431.1864583
9/16/2014,3.246875,424.1095833
9/17/2014,3.277083333,439.6070833
9/18/2014,3.3078125,437.4466667
9/19/2014,3.431770833,455.7597917
9/20/2014,3.565625,474.8420833
9/21/2014,3.788020833,503.2655208
9/22/2014,3.675,506.8016667
9/23/2014,3.828125,525.3928125
9/24/2014,5.388541667,767.3047917
9/25/2014,5.317708333,804.0164583
9/26/2014,4.772916667,774.434375
9/27/2014,4.634375,747.0332292
9/28/2014,4.444086022,716.5655208
9/29/2014,,694.4779167
9/30/2014,,661.4403125
10/1/2014,,653.7067708
10/2/2014,,671.8766667
10/3/2014,,663.6667708
10/4/2014,,651.85375
10/5/2014,,639.1228125
10/6/2014,,611.4385417
10/7/2014,,617.5567708
10/8/2014,,640.790625
10/9/2014,,659.3030208
10/10/2014,,653.8353125
10/11/2014,,681.3342708
10/12/2014,,727.7330208
10/13/2014,,699.2621875
10/14/2014,,811.4425
10/15/2014,,940.6241667
10/16/2014,,858.0788542
10/17/2014,,803.9089583
10/18/2014,,928.5232292
10/19/2014,,882.6258333
10/20/2014,,910.6340625
10/21/2014,,997.5195833
10/22/2014,,1148.790104
10/23/2014,,1607.005313
10/24/2014,,1744.793333
10/25/2014,,1991.086667
10/26/2014,,1976.522813
10/27/2014,,1943.185938
10/28/2014,,2286.309063
10/29/2014,,2439.984271
10/30/2014,,2472.01625
10/31/2014,,2707.761875
11/1/2014,,2067.065417
11/2/2014,,1734.128958
11/3/2014,,1595.411146
11/4/2014,,1931.117396
11/5/2014,,2631.6975
11/6/2014,,2846.919167
11/7/2014,,2663.574271
11/8/2014,,2208.818021
11/9/2014,,2100.709688
11/10/2014,,2168.510625
11/11/2014,,2297.275313
11/12/2014,,2260.991771
11/13/2014,,1976.450521
11/14/2014,,1486.463438
11/15/2014,,1273.6375
11/16/2014,,1208.642604
11/17/2014,,1154.554479
11/18/2014,,1131.089375
11/19/2014,,1027.872083
11/20/2014,,969.3448958
11/21/2014,,996.05
11/22/2014,,1126.706979
11/23/2014,,1698.209479
11/24/2014,,2407.955417
11/25/2014,,3273.343646
11/26/2014,,6624.209063
11/27/2014,,7940.89875
11/28/2014,,7745.026563
11/29/2014,,6131.428125
11/30/2014,,3375.889479
12/1/2014,,2782.836354
12/2/2014,,2158.992396
12/3/2014,,2008.355313
12/4/2014,9.172395833,1861.829063
12/5/2014,8.840625,1952.259479
12/6/2014,9.777083333,1855.158333
12/7/2014,7.334375,1749.677813
12/8/2014,6.160416667,1705.820208
12/9/2014,7.413541667,1919.908333
12/10/2014,11.17291667,2149.922604
12/11/2014,9.5,2232.902917
12/12/2014,8.0625,2124.854063
12/13/2014,4.763541667,1784.741667
12/14/2014,4.005208333,1641.019479
12/15/2014,3.498958333,1584.973958
12/16/2014,3.31875,1614.773125
12/17/2014,3.258333333,1641.267604
12/18/2014,3.394791667,1490.795313
12/19/2014,4.617708333,1514.597917
12/20/2014,4.253125,1557.151563
12/21/2014,12.80625,2205.054063
12/22/2014,54.625,4060.039375
12/23/2014,36.79166667,4377.819583
12/24/2014,27.29166667,4498.148333
12/25/2014,23.32291667,4687.615729
12/26/2014,17.17708333,4432.054583
12/27/2014,13.64583333,4155.480417
12/28/2014,12.03125,4047.892604
12/29/2014,11.17708333,3843.450625
12/30/2014,9.6,2862.754063
12/31/2014,6.577083333,2413.652604
1/1/2015,5.502083333,2105.280313
1/2/2015,4.420833333,1978.167917
1/3/2015,4.891666667,1946.109167
1/4/2015,4.835416667,1937.105833
1/5/2015,25.309375,2881.960208
1/6/2015,204.7916667,7399.684167
1/7/2015,151.25,8074.0525
1/8/2015,90.67708333,6889.319167
1/9/2015,47.88541667,5375.746146
1/10/2015,33.83333333,4088.705938
1/11/2015,19.70833333,3740.928125
1/12/2015,18.36458333,3008.422708
1/13/2015,12.95833333,2765.611563
1/14/2015,12.11458333,2568.443542
1/15/2015,16.02083333,2256.065833
1/16/2015,18.375,1953.643542
1/17/2015,15.6875,1862.372396
1/18/2015,25.01041667,2667.639271
1/19/2015,41.8125,3703.1
1/20/2015,17.83333333,3553.015104
1/21/2015,12.28125,3375.877396
1/22/2015,10.16354167,3310.895417
1/23/2015,9.678125,2815.076042
1/24/2015,11.56770833,2576.973021
1/25/2015,21.91666667,3579.711354
1/26/2015,16.90625,3737.533229
1/27/2015,10.78958333,3410.387917
1/28/2015,8.721875,2998.082604
1/29/2015,9.46875,2498.892708
1/30/2015,9.289583333,2106.748646
1/31/2015,5.921875,1832.345625
2/1/2015,4.683333333,1764.760521
2/2/2015,5.032291667,1820.249167
2/3/2015,4.946875,1946.423438
2/4/2015,7.967708333,1721.611771
2/5/2015,12.525,1930.086563
2/6/2015,17.29166667,2544.736875
2/7/2015,22.91666667,3154.258125
2/8/2015,21.29166667,3638.095313
2/9/2015,14.65625,3702.713646
2/10/2015,14.69791667,3848.51625
2/11/2015,22.65104167,4269.855313
2/12/2015,17.01041667,3639.468958
2/13/2015,9.508333333,3027.807083
2/14/2015,6.795833333,2573.301042
2/15/2015,5.385416667,2329.179688
2/16/2015,5.185416667,2053.08125
2/17/2015,4.45,1903.558229
2/18/2015,4.130208333,1795.929792
2/19/2015,6.820833333,1625.600729
2/20/2015,7.702083333,1543.514688
2/21/2015,5.883333333,1415.535104
2/22/2015,5.2875,1308.301146
2/23/2015,4.213541667,1269.654063
2/24/2015,3.765625,1158.182188
2/25/2015,3.805208333,1105.045625
2/26/2015,4.0875,1178.895729
2/27/2015,9.90625,1558.04875
2/28/2015,8.488541667,1451.676875
3/1/2015,4.153125,1197.116875
3/2/2015,2.989583333,1115.972917
3/3/2015,2.877083333,1034.185625
3/4/2015,2.795833333,1012.930833
3/5/2015,2.508333333,993.091875
3/6/2015,2.2625,964.1148958
3/7/2015,2.71875,943.305625
3/8/2015,3.567708333,939.11875
3/9/2015,2.3,915.4036458
3/10/2015,2.039583333,905.3197917
3/11/2015,2.445833333,929.1820833
3/12/2015,2.497916667,928.8152083
3/13/2015,2.027604167,900.3911458
3/14/2015,4.379166667,1101.353646
3/15/2015,11.73645833,1644.523958
3/16/2015,22.4375,2204.994479
3/17/2015,9.644791667,1804.158021
3/18/2015,5.85,1465.254583
3/19/2015,3.960416667,1297.404063
3/20/2015,3.15625,1151.058854
3/21/2015,3.220833333,1085.968646
3/22/2015,2.839583333,1064.399583
3/23/2015,3.332291667,1081.734063
3/24/2015,5.295833333,1241.081979
3/25/2015,8.240625,1368.183021
3/26/2015,4.859375,1356.785417
3/27/2015,3.907291667,1301.228958
3/28/2015,4.005208333,1275.964167
3/29/2015,2.73125,1200.505104
3/30/2015,2.329166667,1148.313021
3/31/2015,2.727083333,1191.689688
4/1/2015,2.407291667,1168.792461
4/2/2015,2.344791667,1167.0859
4/3/2015,1.884375,1128.484304
4/4/2015,2.029166667,1080.91599
4/5/2015,1.976041667,1047.24591
4/6/2015,1.655208333,1019.445368
4/7/2015,1.640625,1014.641259
4/8/2015,1.869791667,960.1528406
4/9/2015,1.716666667,903.537774
4/10/2015,2.273958333,934.0434031
4/11/2015,2.957291667,1003.441794
4/12/2015,1.784375,961.4579729
4/13/2015,2.044791667,977.3217823
4/14/2015,3.223958333,1090.123902
4/15/2015,2.753125,1017.856161
4/16/2015,2.3859375,919.7405417
4/17/2015,2.4578125,899.1953978
4/18/2015,1.852083333,890.1393198
4/19/2015,1.758333333,874.9379981
4/20/2015,1.533333333,873.1900106
4/21/2015,1.613541667,857.8008392
4/22/2015,1.61875,840.0820459
4/23/2015,1.690104167,805.5792643
4/24/2015,1.972916667,888.359826
4/25/2015,2.486458333,917.6991448
4/26/2015,1.935416667,869.3857729
4/27/2015,1.404166667,834.9179406
4/28/2015,1.513541667,842.0060938
4/29/2015,2.094791667,804.6256979
4/30/2015,1.463541667,766.6942125
5/1/2015,1.859375,763.6238344
5/2/2015,1.619791667,729.2918476
5/3/2015,1.6375,700.7017592
5/4/2015,1.802083333,682.0994569
5/5/2015,1.9484375,695.2944319
5/6/2015,1.54375,684.8707246
5/7/2015,1.430208333,670.8267556
5/8/2015,1.310416667,645.1141557
5/9/2015,1.683333333,629.0993838
5/10/2015,1.936458333,619.4835878
5/11/2015,1.790625,613.2769195
5/12/2015,1.589583333,656.9246559
5/13/2015,2.228125,718.1935672
5/14/2015,1.976041667,711.4064185
5/15/2015,1.519791667,662.2481592
5/16/2015,1.4875,634.175531
5/17/2015,1.528125,622.0022584
5/18/2015,1.567708333,611.7308181
5/19/2015,2.016666667,596.4868523
5/20/2015,2.6,584.8741029
5/21/2015,2.533333333,574.7809405
5/22/2015,2.541666667,569.6557578
5/23/2015,2.688541667,538.0554325
