"","missingprop_autocor","parameters","param_value","param_se","missingness","type","curSim","sim_no","simParams","missingnessName"
"152","1","intercept",-0.349292189131262,0.193108864429315,"MAR","Kalman Filter",1007,"N_200_sim_7",-0.241923893047754,"propMissAct_0.5_autoCorr_0.06"
"153","1","xreg1",0.105019658869295,0.0936748827441805,"MAR","Kalman Filter",1007,"N_200_sim_7",0.0888717290549424,"propMissAct_0.5_autoCorr_0.06"
"154","1","xreg2",1.46708372599129,0.125660613102582,"MAR","Kalman Filter",1007,"N_200_sim_7",1.54260817042907,"propMissAct_0.5_autoCorr_0.06"
"155","1","sigma",1.01247662421122,NA,"MAR","Kalman Filter",1007,"N_200_sim_7",NA,"propMissAct_0.5_autoCorr_0.06"
"156","1","phi",0.46516685531662,0.0878759479877437,"MAR","simple drop NA",1007,"N_200_sim_7",0.677139746025205,"propMissAct_0.5_autoCorr_0.06"
"157","1","intercept",-0.31248300001802,0.208562489752307,"MAR","simple drop NA",1007,"N_200_sim_7",-0.241923893047754,"propMissAct_0.5_autoCorr_0.06"
"158","1","xreg1",0.0674378623422245,0.100020047997106,"MAR","simple drop NA",1007,"N_200_sim_7",0.0888717290549424,"propMissAct_0.5_autoCorr_0.06"
"159","1","xreg2",1.44277338014735,0.132721152686117,"MAR","simple drop NA",1007,"N_200_sim_7",1.54260817042907,"propMissAct_0.5_autoCorr_0.06"
"160","1","sigma",1.26527470494749,NA,"MAR","simple drop NA",1007,"N_200_sim_7",NA,"propMissAct_0.5_autoCorr_0.06"
"161","1","phi",0.165425484976442,0.135890319188416,"MAR","comple case drop NA",1007,"N_200_sim_7",0.677139746025205,"propMissAct_0.5_autoCorr_0.06"
"162","1","intercept",-0.0300782143623862,0.212673995748628,"MAR","comple case drop NA",1007,"N_200_sim_7",-0.241923893047754,"propMissAct_0.5_autoCorr_0.06"
"163","1","xreg1",0.0182268133634906,0.166779513192717,"MAR","comple case drop NA",1007,"N_200_sim_7",0.0888717290549424,"propMissAct_0.5_autoCorr_0.06"
"164","1","xreg2",1.24122938114085,0.208171756525163,"MAR","comple case drop NA",1007,"N_200_sim_7",1.54260817042907,"propMissAct_0.5_autoCorr_0.06"
"165","1","sigma",1.6067626249002,NA,"MAR","comple case drop NA",1007,"N_200_sim_7",NA,"propMissAct_0.5_autoCorr_0.06"
"166",NA,"phi",0.241239083156563,0.0766270080160962,"MAR","Multiple Imputation",1007,"N_200_sim_7",0.677139746025205,"propMissAct_0.5_autoCorr_0.06"
"167",NA,"intercept",-0.374115539810585,0.125024527760391,"MAR","Multiple Imputation",1007,"N_200_sim_7",-0.241923893047754,"propMissAct_0.5_autoCorr_0.06"
"168",NA,"xreg1",0.0651169338437193,0.127832830481718,"MAR","Multiple Imputation",1007,"N_200_sim_7",0.0888717290549424,"propMissAct_0.5_autoCorr_0.06"
"169",NA,"xreg2",1.33695744455808,0.16527603706224,"MAR","Multiple Imputation",1007,"N_200_sim_7",1.54260817042907,"propMissAct_0.5_autoCorr_0.06"
"170",NA,"sigma",1.51833142916541,NA,"MAR","Multiple Imputation",1007,"N_200_sim_7",NA,"propMissAct_0.5_autoCorr_0.06"
"171",NA,"intercept",-0.355901683063853,0.204911586971233,"MAR","data augmentation",1007,"N_200_sim_7",-0.241923893047754,"propMissAct_0.5_autoCorr_0.06"
