"CurSim","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
10,"propMissAct_0.22_autoCorr_0.92","MAR","Multiple imputations","light",0.0192047540176508,"H",0.00132828005465796
10,"propMissAct_0.46_autoCorr_0.9","MAR","Multiple imputations","light",0.0210659567742136,"I",0.0013335956301258
10,"propMissAct_0.38_autoCorr_0.9","MAR","Multiple imputations","light",0.0177828248486721,"J",0.00176206127143672
10,"propMissAct_0.54_autoCorr_0.84","MAR","Multiple imputations","light",0.018368206073968,"K",0.00223753095879044
10,"propMissAct_0.53_autoCorr_0.89","MAR","Multiple imputations","light",0.019260768472841,"L",0.00173395336941403
10,"propMissAct_0.67_autoCorr_0.87","MAR","Multiple imputations","light",0.0218549042882415,"M",0.00168132286199682
10,"propMissAct_0.45_autoCorr_0.93","MAR","Multiple imputations","light",0.024809138752062,"N",0.00196024448200013
10,"propMissAct_0.56_autoCorr_0.9","MAR","Multiple imputations","light",0.01670167990276,"O",0.00158378353402164
10,"propMissAct_0.67_autoCorr_0.92","MAR","Multiple imputations","light",0.0249348638033082,"P",0.00190759391351098
10,"y","MAR","Multiple imputations","discharge",-1.61258007342112,"A",0.536034314893461
10,"propMissAct_0.04_autoCorr_0.9","MAR","Multiple imputations","discharge",-1.51103597012754,"B",0.553027367656966
10,"propMissAct_0.05_autoCorr_0.92","MAR","Multiple imputations","discharge",-1.55629434623036,"C",0.564138942763555
10,"propMissAct_0.08_autoCorr_0.83","MAR","Multiple imputations","discharge",-1.49914803975881,"D",0.635116454666729
10,"propMissAct_0.24_autoCorr_0.86","MAR","Multiple imputations","discharge",-0.47356397909447,"E",0.65585770094627
10,"propMissAct_0.2_autoCorr_0.88","MAR","Multiple imputations","discharge",0.340438033723613,"F",1.08279665693989
10,"propMissAct_0.19_autoCorr_0.88","MAR","Multiple imputations","discharge",-1.26475161786362,"G",0.688871365729004
10,"propMissAct_0.22_autoCorr_0.92","MAR","Multiple imputations","discharge",-1.05536814398933,"H",0.955247097533033
10,"propMissAct_0.46_autoCorr_0.9","MAR","Multiple imputations","discharge",2.19139364773554,"I",1.51572839766593
10,"propMissAct_0.38_autoCorr_0.9","MAR","Multiple imputations","discharge",0.78150042685297,"J",1.88176051808677
10,"propMissAct_0.54_autoCorr_0.84","MAR","Multiple imputations","discharge",-1.15374526140275,"K",0.929326094840001
10,"propMissAct_0.53_autoCorr_0.89","MAR","Multiple imputations","discharge",-1.34850706433004,"L",1.22404774161267
10,"propMissAct_0.67_autoCorr_0.87","MAR","Multiple imputations","discharge",3.81284369710652,"M",6.11975631022392
10,"propMissAct_0.45_autoCorr_0.93","MAR","Multiple imputations","discharge",-1.02034899652124,"N",1.10123280770593
10,"propMissAct_0.56_autoCorr_0.9","MAR","Multiple imputations","discharge",4.28531679465634,"O",3.89787814616207
10,"propMissAct_0.67_autoCorr_0.92","MAR","Multiple imputations","discharge",7.47318820745743,"P",4.95738775038775
10,"y","MAR","Multiple imputations","sigma",1.47503762197731,"A",NA
10,"propMissAct_0.04_autoCorr_0.9","MAR","Multiple imputations","sigma",1.51974296217215,"B",NA
10,"propMissAct_0.05_autoCorr_0.92","MAR","Multiple imputations","sigma",1.55671266371605,"C",NA
10,"propMissAct_0.08_autoCorr_0.83","MAR","Multiple imputations","sigma",1.48553766060302,"D",NA
10,"propMissAct_0.24_autoCorr_0.86","MAR","Multiple imputations","sigma",1.72864487750131,"E",NA
10,"propMissAct_0.2_autoCorr_0.88","MAR","Multiple imputations","sigma",1.88934183367499,"F",NA
10,"propMissAct_0.19_autoCorr_0.88","MAR","Multiple imputations","sigma",2.09043927790375,"G",NA
10,"propMissAct_0.22_autoCorr_0.92","MAR","Multiple imputations","sigma",1.38387933236939,"H",NA
10,"propMissAct_0.46_autoCorr_0.9","MAR","Multiple imputations","sigma",2.34620049263955,"I",NA
10,"propMissAct_0.38_autoCorr_0.9","MAR","Multiple imputations","sigma",2.43558087041693,"J",NA
10,"propMissAct_0.54_autoCorr_0.84","MAR","Multiple imputations","sigma",2.4840179465531,"K",NA
10,"propMissAct_0.53_autoCorr_0.89","MAR","Multiple imputations","sigma",2.54336400456906,"L",NA
10,"propMissAct_0.67_autoCorr_0.87","MAR","Multiple imputations","sigma",3.3447422733688,"M",NA
10,"propMissAct_0.45_autoCorr_0.93","MAR","Multiple imputations","sigma",2.42213077168405,"N",NA
10,"propMissAct_0.56_autoCorr_0.9","MAR","Multiple imputations","sigma",2.08836913990057,"O",NA
