County,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Columbia,21.04961598,163.0503936,64.52419355,134.6861605,83.19865591,308.0011233,15.68701997,93.54597701,27.86419931,28.8547427,122.9555492,22.99898035,89.90841014,145.1076229,63.56490015,97.35238228,85.10080645,80.15015361,88.91695469,37.34603263,198.2522081,27.63320853,24.281298,65.93314331,70.93512385,50.70492512,99.97559044,276.6687801,143.6754992,156.8469854,191.0383353,29.06107249,135.378725,174.0606087,48.99277211,64.34858838
Crawford,35.69281046,272.6781202,65.61933923,152.7743327,82.23769518,302.2799897,15.94496928,138.454104,0,8.5,123.7601411,0.951612903,121.7832181,143.4484739,45.19215795,138.5086207,102.9471966,47.92155415,80.4547491,50.64377086,224.5193932,24.08890169,27.26656106,43.85780497,59.17367512,51.50487231,90.96068548,232.6704811,153.8046131,173.3821813,203.7453005,36.82463385,95.35877976,194.400384,57.48681836,63.9652716
Dane,24.46196877,146.0621928,43.99642857,145.1221042,121.4717934,264.2462894,13.02450557,109.2522015,40.13245968,29.33338614,110.753557,24.64820171,91.0250576,147.7053283,76.5062596,88.39706155,48.17163498,72.46382488,69.33695757,48.1022525,198.6692972,20.54614192,15.51545219,40.16446051,46.09515169,57.02938268,88.95922893,200.8155298,118.5074643,145.0843597,116.7801631,24.72535941,121.0621851,178.0750179,59.92961863,35.32162757
Dodge,37.49036098,158.1976671,51.11823157,112.0503059,116.041129,253.3777362,18.99323157,97.34885984,48.21975806,33.00288018,82.69959677,32.55589544,77.87586406,166.3263249,70.23415899,68.86554505,74.38162442,77.74971198,98.85095046,34.3339822,174.5259217,29.50547235,19.52116935,81.1092881,77.27793779,66.61285522,103.5087126,196.7497914,150.524712,117.4820853,169.5293203,33.91942436,159.9699309,182.6643145,54.55843894,51.0967593
Door,127.1950845,503.5849942,75.92200461,140.9043103,250.9859447,500.8999712,28.13810484,132.8004727,57.46745392,238.7710253,97.90120968,44.71593437,76.66777074,252.3142281,76.94671659,221.2869855,243.8870968,158.99928,140.6129032,87.63834816,252.1081221,56.22335829,82.64640937,201.1162866,120.5420507,71.42559524,110.828533,196.0837041,180.2482959,100.0253456,138.9247552,20.00521413,136.983943,309.4086262,79.67553763,88.66236162
Douglas,102.3242512,322.7765476,233.5738009,415.3948915,117.3926987,459.8279522,101.1277842,224.9378476,369.5929579,158.6579061,148.875456,407.2537171,219.5289555,236.003629,166.3707181,572.4522618,645.7660378,110.1279042,202.7806644,85.70281795,401.7258257,170.959879,48.67784658,262.4537727,263.9952525,201.1468606,78.32603207,250.7035456,177.1799923,226.1082229,268.608751,60.05102892,168.5255952,495.3790179,67.46352727,120.9464637
Dunn,27.23867127,304.1342742,152.0598214,291.8351224,101.8962846,396.472523,27.79493088,116.7726641,102.1140553,55.3672235,80.13133641,85.70592325,145.0272177,132.140265,74.21961406,243.1078328,350.1467454,70.42900346,147.1864919,104.3464961,228.2422342,48.01526498,37.71327765,134.4828977,69.90319252,53.75103535,55.46286162,165.653933,122.4364749,166.8289744,334.4117063,42.11243056,189.2634872,360.3496016,85.82728495,89.05141577
Eau Claire,37.34639586,360.3376267,147.549712,307.3428254,131.3345183,497.0459677,76.15143369,151.6265295,146.2168561,117.6328719,235.4888644,155.854632,184.1772059,134.1054167,47.70865303,283.291342,303.3089286,112.0569345,142.958238,111.8530172,241.2885945,50.77433756,27.48214286,105.7461995,65.54910714,41.51857719,63.29953917,202.8177141,147.7826901,173.1706029,357.3833525,33.7195495,170.140265,302.1847638,74.41964286,77.07624212
Florence,162.8516513,347.816129,127.4133353,265.8912403,176.7794643,418.4600806,146.3133641,231.8509455,290.703773,147.6140553,96.51657066,264.7718298,255.0963422,166.6526498,91.60210253,467.3902948,503.1370968,213.6965726,289.3326613,230.8976641,372.4040899,107.0822293,104.2785138,302.1946607,129.8873848,252.5403226,59.88652074,262.3061735,234.6036866,192.8762961,190.1540899,220.4193548,252.9179147,560.6471774,365.2013729,141.3944661
Fond Du Lac,18.50051203,99.44919355,45.0718318,81.62595543,119.7282258,178.2225806,13.1781394,55.70717464,30.8812788,18.71342166,63.26584101,22.25625695,62.2390553,116.8446141,55.66935484,102.5216908,73.89876152,65.33827765,57.07834101,53.29463293,178.2259505,26.62471198,17.56350806,64.56354283,45.21313364,52.45406106,68.8546947,175.2651094,118.2776498,117.0644969,144.8981375,26.5440304,132.4087942,132.8939132,33.50681644,66.09997219
Forest,159.8717358,377.8981567,203.5255472,264.9906563,146.975432,431.5276786,149.6473214,281.6913237,319.7544643,219.3238767,224.1139113,308.4890156,302.3567588,208.8521505,146.4665899,507.4442436,533.3446141,217.2776498,315.6677707,252.8412125,332.5547235,136.109015,106.9930876,306.2042547,251.6205357,330.1984447,113.7707373,307.9402113,228.8076037,225.7360311,238.8189804,191.7251576,226.9408122,406.312692,225.5709965,128.3912681
Grant,20.54889913,160.4374808,41.31035906,121.31396,80.97591206,256.330866,16.70214094,112.5666018,27.2515745,32.62903226,137.2475518,26.00718391,79.81293203,117.9209869,56.55405146,74.95036151,54.16769873,42.36446333,67.69455645,56.62358639,203.421755,17.13834485,17.54109063,43.2942158,60.00508833,47.57718894,69.22571045,230.9513348,97.4000576,134.749424,151.124424,26.43508991,76.05357143,153.9031778,64.21121352,43.77609381
Green,13.49009217,128.6496832,34.09832949,110.7447534,113.7757104,176.7935484,15.34158986,136.7363737,51.37672811,40.49913594,100.2243664,26.90531146,66.15367384,118.6443932,66.00076805,50.99694105,47.03777842,41.29176267,61.33323733,44.70318873,215.8741359,19.22638249,21.81437212,36.21676863,52.359447,47.19354839,85.13580069,172.5868094,102.2621928,135.7785618,113.6377688,22.6166574,106.3626152,162.3204205,83.53917051,26.92602892
Green Lake,10.79792627,132.1721774,52.95459976,128.6245829,93.44302995,309.4297235,28.38421659,81.68325918,37.2828341,22.88076037,129.2318548,16.90823137,81.90581797,139.1503456,54.046947,97.98859844,105.3038594,81.23473502,85.87067972,45.90433815,206.0334101,27.53808244,20.48387097,53.29607898,NA,0,43.67511521,229.7113459,197.6875,155.312788,215.6032546,36.22525028,144.202477,186.1483295,45.27419355,92.6070634
Iowa,15.9969278,NA,NA,NA,72.85820276,291.4290937,30.52534562,123.0273492,40.30097926,32.41645545,154.328373,35.21863711,107.8267045,121.2192982,75.11664747,126.1916759,69.44785217,66.30120082,55.66515426,63.97318008,218.105673,6.942063492,15.92045455,8.444444444,15.33974359,59.87737928,85.66344549,220.8412125,143.9879032,223.2384793,191.7381912,41.7919911,170.8044355,226.968606,94.57373272,51.4317297
Iron,278.0831797,545.5293779,372.8942396,402.7058398,253.9221613,456.5172235,143.1011824,436.9345106,538.718606,438.3665035,250.0908698,526.1140156,337.9329877,320.5138057,221.9370584,881.4057286,703.6791475,242.3657834,468.422283,291.2245551,667.1017185,401.7700653,270.9114823,430.7931498,408.7198061,388.8703917,358.843846,502.6718576,420.0736847,385.687404,376.1153274,232.1716259,321.9261473,587.1152314,354.7409994,303.0583287
Jackson,30.66728111,328.436924,127.7608295,234.3072303,126.0672523,382.790649,84.73415899,166.6870133,105.7265745,75.49452765,219.4386521,132.0677141,137.7929584,64.1840176,37.59644522,48.1155303,78.73195187,15.02673993,84.14881239,27.18233618,205.5361463,32.33424539,45.73881528,86.03717093,107.2782258,45.15994624,86.09312596,200.5753615,175.7743856,137.3257488,332.7255184,37.05177049,154.5877016,241.0822293,59.66949885,87.18895996
Jefferson,38.62997952,104.2507104,41.51885561,102.4758621,106.0942588,107.5947485,17.3563028,61.79173619,34.06677227,24.62521601,59.3499664,16.000533,39.71778994,93.1843558,54.50354263,42.22910641,47.09977919,48.16584101,57.61507776,33.34020671,144.8987471,24.16788594,14.41480415,34.52579718,46.22085253,47.06960445,81.16569975,140.5368156,96.90574597,97.05141129,106.109543,25.77109542,99.66126461,135.9779889,52.71458973,33.96855622
Juneau,30.184447,259.9439804,87.46978687,133.8726919,110.8616359,393.1996832,33.36995968,130.5793938,56.45650922,30.171803,162.8549827,24.21051168,107.7583525,121.4930876,20.86290323,121.4949944,160.3957787,71.63234447,96.57747696,51.1522525,225.8316532,29.68087558,37.3843606,75.631396,58.76022465,45.70031682,88.54017857,299.3114572,166.4233871,174.375576,262.6124712,25.98859844,128.8165323,166.8496742,53.07574885,97.21690768
Kenosha,40.54831029,175.9198733,40.85800691,118.1636819,185.4741359,79.80227535,17.29896313,59.29866518,23.31077189,16.78290323,31.75165631,9.099082314,25.06061298,104.2701421,25.28509757,17.58736203,32.42943548,17.36290323,69.09245392,28.51223582,86.53254608,14.48703917,15.782268,38.25,40.28725038,26.91978687,58.90351382,103.2173943,75.41383449,63.12845622,107.0187308,12.78652868,40.73617992,109.4994768,63.90671563,22.37108692
Kewaunee,91.52388633,233.4576037,62.27828341,120.4882481,238.6078341,240.5756912,27.78888249,75.00256767,55.83894009,78.34331797,50.029823,26.65284632,64.08093318,145.2375479,42.35645161,106.5,NA,0,0,0,0,1.416666667,2.428571429,82.76612903,86.9125768,35.55172811,84.6716243,89.41973113,237.0758449,80.13306452,167.4914401,9.253841717,89.26756912,267.9196429,65.19239631,97.87430478
La Crosse,20.818766,172.5912442,73.16643625,103.1351131,72.14711982,260.6073541,39.35483871,84.09306637,40.87893625,24.08726959,144.6932604,35.51640712,113.6072869,110.7158698,23.19930876,140.4716352,109.9987039,61.73401498,91.87298387,40.29558306,216.6356567,18.88486463,30.06790035,62.19751112,55.11866359,47.36587942,93.00364823,202.9524472,132.4254944,172.4865207,229.8993328,34.52155172,104.3379896,197.3395737,75.10361463,78.28719874
