County,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Green Lake,6321.414789,1054.449269,8135.680809,6721.860681,4903.072724,5681.800195,6350.214848,6207.817827,7158.853238,6392.001714,5237.447782,6634.09984,8265.634518,7459.77774,7995.053374,8276.58223,7098.400629,8777.664268,9329.047857,11187.83693,9702.077571,10065.79415,12631.99566,11271.12924,10240.59298,9435.335035,9046.28182,8199.407865,8728.446939,9844.157339,11728.02543,13040.99511,11029.15258,13142.05,16145.47293,14540
Iowa,12439.05589,15082.18562,22323.87537,12952.2014,13768.26037,12806.92527,12552.01341,11329.23497,10668.30771,10964.68264,9225.672026,11325.88447,13683.90938,13806.96424,17532.57697,13196.39865,11443.252,12481.4596,15280.11684,16291.37744,12530.37312,11991.43133,14183.54644,11972.97425,14602.71908,17157.79636,18798.41914,18592.4711,18115.85453,20676.39579,16867.16369,17345.9069,18599.94037,20367.19,21702.45151,24508
Iron,6891.087435,5602.472617,5468.515745,6725.144454,7350.510977,7426.64943,10973.83642,11585.9547,14413.20863,13294.93912,11740.34345,10192.983,11403.06041,16276.38607,21289.67965,14624.75126,11237.05492,14759.33771,17751.56229,17550.3459,17149.95962,10124.71701,15400.59747,12815.42842,12729.62201,11881.69372,13462.76826,10664.17038,7980.15603,10772.99983,11298.53129,10254.88172,6692.281026,2366.48,2571.465136,3816
Jackson,24641.89747,24788.62702,23379.92317,32654.48809,24406.09766,25475.36708,21426.58852,20547.515,24993.33991,21633.76817,22017.367,18885.42389,23354.76895,25120.89054,29215.02352,24483.8938,22540.62805,29394.84651,32378.09161,25266.89492,25845.05319,25149.84727,27552.1673,31449.03381,33277.00295,31322.93857,35521.88686,33137.71025,28165.09103,28064.78499,29049.46686,33862.06531,25800.62921,24773.81,25153.91188,30790
Jefferson,1666.184743,1702.244112,2330.521654,2336.414193,1834.56007,1711.262693,2180.936084,2839.145813,3721.947861,3502.349016,4031.518936,3407.060007,5219.22189,5193.446259,6091.552032,4962.273842,4406.226624,4962.273842,5159.078751,5176.262505,4996.64135,5476.16993,8025.233549,11003.47674,9616.959256,9685.662695,11788.5401,9215.192002,8607.388357,9193.363435,9108.14553,9609.088813,10113.62424,8548.23,7865.613822,6966
Juneau,17782.37199,17898.70289,16678.65475,19684.53922,17964.40968,18277.11,16934.67343,15237.50998,17254.17998,17519.79469,14091.30942,15099.77631,18904.99958,20404.33469,21795.56702,19023.18313,17654.20946,23781.90933,25028.08565,23067.17321,16058.95325,18306.68988,19738.08364,19640.22624,22291.76045,30992.53956,25906.96626,22059.74431,18134.90806,20974.60913,21095.79111,22735.36348,20763.57878,17222.74,18407.74508,19414
Kenosha,620.4120075,629.6718882,851.9090253,1046.36652,740.7904567,546.3329619,611.1521268,870.4287867,1064.886282,1314.903061,1240.824015,1793.822289,2285.035704,2212.445534,2212.445534,1847.013224,1569.216802,1497.746943,1855.096238,1825.884276,1317.512247,1531.92181,1915.362985,2209.348354,2875.980987,3949.700562,3687.023338,4070.325543,4029.34207,3229.954194,2615.744302,2807.189916,3002.949711,2195.26,2083.024126,1924
Kewaunee,1609.222275,1999.322999,1814.039718,2184.625637,1931.055962,1443.464082,1472.702113,1833.540611,2379.680536,2252.89086,1911.575031,2369.93009,2779.562558,3120.874756,3218.451808,2438.246729,2145.636555,2633.285901,2925.86583,2730.766168,3706.058811,3998.650708,4778.813381,3901.146255,4183.925011,3719.831315,3879.738307,3721.717196,4026.001521,4425.8629,6853.257776,9460.13443,8767.723939,9599.39,13337.54301,12532
La Crosse,3766.167213,4750.366771,4457.327137,6507.482631,7346.527714,5643.757406,4905.942376,5966.031601,6666.841449,7724.14081,4391.864568,7962.488157,6916.719074,7829.365624,8718.410982,9561.69741,8986.792358,10322.23533,11213.281,11349.38839,8645.015437,8787.109448,11768.07518,10397.88087,9299.414959,13522.10213,12042.14583,11328.4607,10260.73092,10558.28798,11373.0107,14552.20611,11513.31572,10504.05,10924.82863,10760
Lafayette,1988.263328,3040.873325,2456.089993,4137.342072,1798.208745,4144.196192,3150.087684,4569.639464,2889.432703,3174.151527,2767.277558,3107.977197,4468.097947,4115.729437,4757.49259,3944.789971,3416.986461,4001.769793,4440.357293,3540.936181,4131.266953,3769.780996,6338.425988,6283.125271,8332.880093,12560.90518,14087.3175,12696.58982,12407.76274,11399.97174,9340.859207,9277.500724,8982.497965,8657.88,9903.426093,10267
