"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"1877",126.5,126,0.31361221244733,0.00865643302560784,19,1877,0,0.1,0.13,0.13,"0.360154355469158",0.00976786273539033,0.102624838887998,0.00285043081713514,0.158876269731088,0.00420482327653033,0.561186419722677,0.0153791651607076
"1878",126.6,126,0.31361221244733,0.00865643302560784,19,1878,0,0.15,0.06,0.2,"0.303667489263417",0.00809967773880035,0.104227811767335,0.00285684929544275,0.0992662425162002,0.00252389439083915,0.50786445103707,0.0137235167187867
"1879",126.7,126,0.31361221244733,0.00865643302560784,19,1879,0,0.2,0.21,0.15,"0.361737572600185",0.00971541125030041,0.097449556164529,0.00267646169364531,0.170565317938583,0.00449191793317109,0.552588396740849,0.0149843021458336
"1880",126.8,126,0.31361221244733,0.00865643302560784,19,1880,0,0.25,0.02,0.25,"0.329868007612665",0.00880818522259933,0.0966387365924713,0.00264228247633352,0.140014635116769,0.0036435872898459,0.518857004981477,0.0140019185626072
"1881",126.9,126,0.31361221244733,0.00865643302560784,19,1881,0,0.3,0.17,0.33,"0.383372917456057",0.010441731085243,0.095328620442883,0.00265513322353758,0.196271047262838,0.00525843882044059,0.569978427657594,0.015667179226478
"1882",126.1,126,0.31361221244733,0.00865643302560784,19,1882,0,0.35,0.06,0.27,"0.345898906296447",0.00945086169162911,0.10305454062142,0.00288897373676319,0.143943386705162,0.00381777382681452,0.547935406499359,0.0151431256775073
"1883",126.11,126,0.31361221244733,0.00865643302560784,19,1883,0,0.4,0.09,0.4,"0.576790183893475",0.015733034821063,0.0995915983974241,0.00274934972935602,0.380824221700111,0.010349091875555,0.771226872264381,0.0211266524083072
"1884",126.12,126,0.31361221244733,0.00865643302560784,19,1884,0,0.45,0.11,0.45,"0.461530953008472",0.012588514982537,0.101024980999484,0.00281030665891086,0.263599410443839,0.0071104120777985,0.659631743112783,0.0181272686542433
"1885",126.13,126,0.31361221244733,0.00865643302560784,19,1885,0,0.5,0.24,0.55,"0.553198041241737",0.0153781649691339,0.111290751535368,0.00313245507431578,0.334934034539032,0.0092622362805575,0.77120659732862,0.0215418578543034
"1886",126.14,126,0.31361221244733,0.00865643302560784,19,1886,0,0.55,0.08,0.52,"0.638399472103395",0.0195165823929862,0.100354956711377,0.0029726466907741,0.441775372071008,0.0137248463212536,0.835171702253804,0.0253777425166284
"1887",126.15,126,0.31361221244733,0.00865643302560784,19,1887,0,0.6,0.06,0.65,"0.448354848866448",0.012288262330231,0.0951748632792176,0.00261125130405957,0.261199324560153,0.00717975580141637,0.634292975972592,0.0174161276699933
"1888",126.16,126,0.31361221244733,0.00865643302560784,19,1888,0,0.65,0.04,0.67,"0.302289314275899",0.0087153798530922,0.0914145705428244,0.00265217633221277,0.123160309129619,0.00355037662564398,0.481517077217199,0.0139473114925065
"1889",126.17,126,0.31361221244733,0.00865643302560784,19,1889,0,0.7,0.04,0.75,"1.54516585047205",0.046125448724757,0.0951561257190271,0.00288086520223707,1.35817017969975,0.0404946269217192,1.73117235292542,0.0517872819955235
"1890",126.18,126,0.31361221244733,0.00865643302560784,19,1890,0,0.75,0.02,0.68,"0.930882347505453",0.0276487998368104,0.108983023526706,0.00324345197811428,0.716255604852358,0.0212904383303167,1.14345788599976,0.0340043986733807
"1891",127,127,0.524656991879496,0.00325182021409273,29,1891,0,0.05,0.3,0.05,"0.491059842777814",0.00300123208860183,0.0770019151270457,0.000481910378513237,0.338886975233538,0.00204998904054067,0.640732356428041,0.00393906051924125
