"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"6887","960.2.1",960,0.502653263124643,0.00480570273660123,21,44387,0.7,0.1,0.74,0.4,"0.363337847399216",0.00340404639702872,0.074687603705178,0.000719093314022405,0.215989126576895,0.00198793152486583,0.50875846415243,0.00480671281504352
"6888","960.2.2",960,0.502653263124643,0.00480570273660123,21,44388,0.7,0.15,0.68,0.3,"0.496773599351091",0.00477024507271906,0.0880936046655963,0.000864407681904095,0.322601854331731,0.00306401824078335,0.667921211341129,0.00645241127376222
"6889","960.2.3",960,0.502653263124643,0.00480570273660123,21,44389,0.7,0.2,0.54,0.17,"0.530808747177422",0.00514117692346127,0.0922475056008299,0.000913251656146421,0.34829854960318,0.00333715806236177,0.709898683607397,0.00691699090974931
"6890","960.2.4",960,0.502653263124643,0.00480570273660123,21,44390,0.7,0.25,0.55,0.18,"0.525753236746672",0.00513509354124041,0.0921712379384647,0.000919677634415779,0.343371372960832,0.00331818058147638,0.704675676923623,0.00692323466078253
"6891","960.2.5",960,0.502653263124643,0.00480570273660123,21,44391,0.7,0.3,0.83,0.3,"0.512878542721634",0.00500908720047336,0.0858435869702158,0.000856698682487767,0.343247813646794,0.00331915837493114,0.679746209326093,0.00667732253553234
"6892","960.2.6",960,0.502653263124643,0.00480570273660123,21,44392,0.7,0.35,0.68,0.32,"0.49721284661215",0.00487861346397725,0.086261088520119,0.000865086317127838,0.326762983845166,0.00317222345546135,0.664896956094066,0.00656325541120335
"6893","960.2.7",960,0.502653263124643,0.00480570273660123,21,44393,0.7,0.4,0.77,0.33,"0.460008503925454",0.00449809997216819,0.0835843333284168,0.000836823107541944,0.29480652549827,0.00284708302219509,0.622450683651228,0.0061273562396086
"6894","960.2.8",960,0.502653263124643,0.00480570273660123,21,44394,0.7,0.45,0.74,0.42,"0.405125012682082",0.00386822849434179,0.07633386132786,0.000739207616534401,0.254570906496305,0.0024129133647234,0.553786955009725,0.00531047333837078
"6895","960.2.9",960,0.502653263124643,0.00480570273660123,21,44395,0.7,0.5,0.7,0.2,"0.474447175762957",0.00452786725571254,0.0872827224372868,0.00085526183557323,0.30193042367454,0.0028402242956653,0.644067744495609,0.00619273140685205
"6896","960.2.10",960,0.502653263124643,0.00480570273660123,21,44396,0.7,0.55,0.63,0.68,"0.318517838824927",0.00279798012499161,0.0573014125690284,0.000516977732599662,0.20572930988926,0.00178291870974774,0.430349945526692,0.0038094620923478
"6897","960.2.11",960,0.502653263124643,0.00480570273660123,21,44397,0.7,0.6,0.44,0.37,"0.538495630627623",0.00514671503364749,0.0891530926039738,0.000870917873463643,0.362173294253006,0.00342699607628754,0.711644258427928,0.00684089260785329
"6898","960.2.12",960,0.502653263124643,0.00480570273660123,21,44398,0.7,0.65,0.68,0.63,"0.872602346021183",0.00830379623834474,0.0994652725704904,0.00096236035002964,0.676971205777472,0.00641409676087961,1.06684978713892,0.0101862996311333
"6899","960.2.13",960,0.502653263124643,0.00480570273660123,21,44399,0.7,0.7,0.66,0.83,"0.632671906352122",0.00561812587024742,0.0554591252506122,0.00052311685780031,0.523532079676503,0.00459151105545819,0.740925768548349,0.00664207115435172
"6900","960.2.14",960,0.502653263124643,0.00480570273660123,21,44400,0.7,0.75,0.65,0.53,"0.511379928519553",0.00493200198625494,0.0846055413160889,0.000833203887800749,0.343963194558259,0.00328604589049268,0.675618851714415,0.00655221620630547
"6901","961.2",961,0.113003448314007,0.00100022933306172,21,44401,0.7,0.05,0.65,0.05,"0.104204525867987",0.00113106131774466,0.0476691010742365,0.000629190683524357,0.0103901151917492,-0.000100381405981367,0.197256790938482,0.00236611956593306
"6902","961.2.1",961,0.113003448314007,0.00100022933306172,21,44402,0.7,0.1,0.73,0.07,"0.0842047526102428",0.000854717505120938,0.0467810030069654,0.000621069091758944,-0.00785533526748066,-0.000360452914918061,0.175530803217384,0.00207422784559559
"6903","961.2.2",961,0.113003448314007,0.00100022933306172,21,44403,0.7,0.15,0.81,0.1,"0.109186135230046",0.00115287039921684,0.0427411342176036,0.000536091352402283,0.025114381298373,0.000104992347229752,0.192663914548413,0.00220655621927228
"6904","961.2.3",961,0.113003448314007,0.00100022933306172,21,44404,0.7,0.2,0.68,0.32,"0.106653669378735",0.00113282638913656,0.0450164422299132,0.000577133701075314,0.0179878122591432,2.57780199053572e-06,0.194457399116174,0.00226503586466846
"6905","961.2.4",961,0.113003448314007,0.00100022933306172,21,44405,0.7,0.25,0.76,0.17,"0.111084457094266",0.00121693424429854,0.047373681759173,0.000620457770409695,0.0178138774962464,2.02032736779143e-06,0.203522665681227,0.00243428937427922
"6906","961.2.5",961,0.113003448314007,0.00100022933306172,21,44406,0.7,0.3,0.68,0.27,"0.0611694403281318",0.000424292945630305,0.0459939132528097,0.000603456440726417,-0.0293499938538755,-0.000756533348136959,0.150950733421788,0.00160910483738907
"6907","961.2.6",961,0.113003448314007,0.00100022933306172,21,44407,0.7,0.35,0.73,0.25,"0.100945217741121",0.00107421290199761,0.0466338968326386,0.000589613362882408,0.00910035598591463,-8.08571072003505e-05,0.191909904579803,0.00223050859131207
"6908","961.2.7",961,0.113003448314007,0.00100022933306172,21,44408,0.7,0.4,0.62,0.33,"0.119485066432506",0.00134369254736335,0.0484311686146177,0.000638295191058975,0.0241970443556704,9.46575301837381e-05,0.214051224786524,0.00259685148514412
"6909","961.2.8",961,0.113003448314007,0.00100022933306172,21,44409,0.7,0.45,0.58,0.2,"0.114509709086848",0.00128962493251584,0.049635219930695,0.000668828700320528,0.0167579068377635,-2.0663112694007e-05,0.211332053125376,0.00260122083986538
"6910","961.2.9",961,0.113003448314007,0.00100022933306172,21,44410,0.7,0.5,0.7,0.3,"0.138299128765651",0.00159097678193204,0.0478479556149631,0.000628653858644623,0.044146233773646,0.000360653855672123,0.231713800672406,0.00282504622825258
"6911","961.2.10",961,0.113003448314007,0.00100022933306172,21,44411,0.7,0.55,0.59,0.63,"0.0610715008040672",0.000310809236741161,0.0365868470463318,0.000404892931159254,-0.0109779387876776,-0.000481246891164184,0.132445876717716,0.00110599920039736
"6912","961.2.11",961,0.113003448314007,0.00100022933306172,21,44412,0.7,0.6,0.68,0.45,"0.127089404297621",0.00141619807280103,0.0482619232530857,0.00061617494880759,0.0320604233619008,0.000209007348369104,0.221252146767317,0.00262449948740411
"6913","961.2.12",961,0.113003448314007,0.00100022933306172,21,44413,0.7,0.65,0.72,0.45,"0.116454393224932",0.00132157887252627,0.0509882321299881,0.000690825879621194,0.0160400927762989,-3.20315156354249e-05,0.21591695194126,0.0026760619179256
"6914","961.2.13",961,0.113003448314007,0.00100022933306172,21,44414,0.7,0.7,0.53,0.88,"0.337168745008195",0.00697627556976344,0.0684567823274621,0.00131876126288601,0.202176659221719,0.00438696589091477,0.470522061594499,0.00955639658967203
"6915","961.2.14",961,0.113003448314007,0.00100022933306172,21,44415,0.7,0.75,0.74,0.6,"0.0379594061909097",-5.57070478745436e-05,0.0358543507506607,0.000372204241196744,-0.0326344300477986,-0.000783284485313644,0.107918411972257,0.000675827655975455
"6916","962.2",962,0.448533575305194,0.0092114946921356,21,44416,0.7,0.05,0.81,0.1,"0.735487913653658",0.0155532261241431,0.141133515128984,0.00301906861345698,0.457037261755417,0.00961113722922984,1.01024103542838,0.0214450006991158
"6917","962.2.1",962,0.448533575305194,0.0092114946921356,21,44417,0.7,0.1,0.58,0.08,"0.584896303950153",0.0125255028069031,0.124170045179683,0.00268323973703134,0.339831209725631,0.00724452482130814,0.826567594155212,0.0177625846329307
"6918","962.2.2",962,0.448533575305194,0.0092114946921356,21,44418,0.7,0.15,0.75,0.28,"0.5841245292592",0.0125288313730089,0.116093742491563,0.00252696155916436,0.355223357296968,0.00756154147373716,0.810288668608393,0.0174667160269175
"6919","962.2.3",962,0.448533575305194,0.0092114946921356,21,44419,0.7,0.2,0.37,0.2,"0.667733873347229",0.0143130920705824,0.120954285793611,0.00261965103398433,0.429071335139576,0.00915875993979857,0.903197993742958,0.0194274636101469
"6920","962.2.4",962,0.448533575305194,0.0092114946921356,21,44420,0.7,0.25,0.44,0.1,"0.562861458203957",0.0120998957847981,0.126444553200861,0.00274598516826886,0.313528696506151,0.00670018444704817,0.80918755824554,0.0174643562254624
"6921","962.2.5",962,0.448533575305194,0.0092114946921356,21,44421,0.7,0.3,0.72,0.48,"0.514746516982733",0.0109564769131173,0.0921531123996327,0.00197902131167946,0.333290864515802,0.00707488317544882,0.694532441588844,0.0148326858357618
"6922","962.2.6",962,0.448533575305194,0.0092114946921356,21,44422,0.7,0.35,0.44,0.43,"0.729569915280847",0.016175796878884,0.157771714826664,0.00350973203216098,0.419948995565488,0.00930460641189807,1.0384148790225,0.0230627793564722
"6923","962.2.7",962,0.448533575305194,0.0092114946921356,21,44423,0.7,0.4,0.67,0.28,"0.689682610913897",0.0146364020555442,0.116949535347241,0.00250902406901288,0.458706928914036,0.00969538233347152,0.917153030109439,0.0195308330041989
"6924","962.2.8",962,0.448533575305194,0.0092114946921356,21,44424,0.7,0.45,0.65,0.45,"0.440781774508435",0.00961127758326936,0.0955985957035683,0.00211550667459755,0.251932202206999,0.00544784887943219,0.626671356935059,0.0137404413829835
"6925","962.2.9",962,0.448533575305194,0.0092114946921356,21,44425,0.7,0.5,0.58,0.68,"0.761657180127751",0.0161347171950999,0.1281896671717,0.00274580102665401,0.508642860166976,0.0107297798717373,1.01110867861716,0.0214924857003064
"6926","962.2.10",962,0.448533575305194,0.0092114946921356,21,44426,0.7,0.55,0.68,0.63,"0.508684659211701",0.0110322189429659,0.0857052680868265,0.00188837424525207,0.339926010573257,0.00733012403872219,0.675890692261732,0.0147325686963753
"6927","962.2.11",962,0.448533575305194,0.0092114946921356,21,44427,0.7,0.6,0.51,0.55,"0.576123939654486",0.0124651148536557,0.111388779587812,0.00243960258645867,0.35631453847979,0.0076661167298496,0.792955469167786,0.0172292879329081
"6928","962.2.12",962,0.448533575305194,0.0092114946921356,21,44428,0.7,0.65,0.62,0.48,"0.677854832304238",0.0144297125433955,0.13930258237473,0.00300373513950017,0.402953647110501,0.00851677146612599,0.948979666265549,0.0202905028922535
"6929","962.2.13",962,0.448533575305194,0.0092114946921356,21,44429,0.7,0.7,0.71,0.4,"0.511263167380877",0.011315221908217,0.124353312108897,0.00279093410656103,0.266151628908306,0.00583024814939794,0.75360118283688,0.0167703517322087
"6930","962.2.14",962,0.448533575305194,0.0092114946921356,21,44430,0.7,0.75,0.59,0.73,"0.675872026418045",0.014381434247257,0.104920365850768,0.00225622415743296,0.469423075312461,0.00995708678483277,0.880690767211627,0.0188010165882834
"6931","963.2",963,0.49692582569835,0.00866027950192802,18,44431,0.7,0.05,0.48,0.03,"0.574156851402153",0.00966388630928246,0.0996823088141646,0.00169015560104357,0.377372661499774,0.0063362628071146,0.768121339244937,0.0129615567561599
"6932","963.2.1",963,0.49692582569835,0.00866027950192802,18,44432,0.7,0.1,0.74,0.15,"0.528371514961919",0.0090033278556725,0.0920333293966104,0.00158000631418977,0.346906251757786,0.00589736181714955,0.707673334358673,0.0120909196534284
"6933","963.2.2",963,0.49692582569835,0.00866027950192802,18,44433,0.7,0.15,0.77,0.18,"0.553114456104522",0.00931209088579893,0.0960874878805731,0.00163023931110256,0.363463915935019,0.0061034431086659,0.740123717081473,0.0124939164064788
"6934","963.2.3",963,0.49692582569835,0.00866027950192802,18,44434,0.7,0.2,0.78,0.08,"0.603184860594271",0.0104454018958405,0.100075819384002,0.00174651590869487,0.405695315599305,0.00700836626686249,0.797985631818563,0.0138545740639211
"6935","963.2.4",963,0.49692582569835,0.00866027950192802,18,44435,0.7,0.25,0.26,0.1,"0.527573207094317",0.00885192995902011,0.0961345288475393,0.00162479811936689,0.337988599873249,0.005656746750472,0.714826859186494,0.0120257879634058
