"","X","simNumber","autocorrs","prop_miss","autocorr_act","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha","r","alpha","N0"
"8195",1,94,0.6,0.5,0.52,0.366080170292711,0.0482689227814265,0.18703029876058,0.0157876117940645,-0.00726058637481712,0.0185391725520541,0.72703815617081,0.0806064911743805,0.0126240581137222,0.00548730467935093,21
"8196",1,112,0.6,0.04,0.52,0.387321785626612,0.0599200226309953,0.219435564291847,0.0268278746230301,-0.0490852484160084,0.00799148923941602,0.811199902654526,0.113169602134629,0.0241726178064656,0.00758642404573038,21
"8197",1,112,0.6,0.19,0.41,0.314088903621025,0.0506475006734039,0.206822942416342,0.0255033062719825,-0.0967725303335035,0.00129458721142366,0.714170511271902,0.101297346347379,0.0241726178064656,0.00758642404573038,21
"8198",1,112,0.6,0.14,0.53,0.343530059844257,0.0513643289445039,0.218855013538351,0.0255841806135112,-0.0919338144608128,0.00175025322258141,0.765937089090768,0.102031101535155,0.0241726178064656,0.00758642404573038,21
"8199",1,112,0.6,0.43,0.3,0.927951819057538,0.110668000035008,0.221676648432689,0.0242947417861175,0.48587830413434,0.0631962856165754,1.35477175142965,0.158414287631138,0.0241726178064656,0.00758642404573038,21
"8200",1,112,0.6,0.21,0.51,0.473153261320902,0.066385347557467,0.228475083007301,0.0268476193559018,0.0205131946958574,0.0144781057182008,0.916110276651765,0.119714459236384,0.0241726178064656,0.00758642404573038,21
"8201",1,112,0.6,0.22,0.5,0.319574462242527,0.0494302513959108,0.208693069646847,0.0251215625397961,-0.0962255017393875,0.000540335955305896,0.721820126131474,0.0990085113864299,0.0241726178064656,0.00758642404573038,21
"8202",1,112,0.6,0.36,0.51,0.300388344545495,0.0472109180739603,0.209126076410566,0.0244603618984824,-0.116304225426879,-0.000192751567844456,0.703677748545448,0.0957204558363094,0.0241726178064656,0.00758642404573038,21
"8203",1,112,0.6,0.43,0.46,0.665460617135944,0.084442058628089,0.23578322691146,0.0262753550375427,0.194769643906989,0.0330297701293483,1.11881048309209,0.13598982983729,0.0241726178064656,0.00758642404573038,21
"8204",1,112,0.6,0.71,0.59,0.471433227184601,0.0338448472876605,0.101270351814853,0.00788548101621328,0.269266925392711,0.0186235515699351,0.6665276093139,0.0495821730707345,0.0241726178064656,0.00758642404573038,21
"8205",1,112,0.6,0.17,0.48,0.410597376811551,0.062754950388138,0.215631521720223,0.026483416222769,-0.0182024316030801,0.0114821063190527,0.827140270904,0.115305416410215,0.0241726178064656,0.00758642404573038,21
"8206",1,112,0.6,0.64,0.4,0.43114266394953,0.0606463575378103,0.167385302542721,0.0192483444475514,0.0970264711275892,0.0231749685422739,0.753329528127426,0.0986471662526248,0.0241726178064656,0.00758642404573038,21
"8207",1,112,0.6,0.45,0.43,0.405924524533653,0.0577578085202859,0.207259515248258,0.0238903513907545,-0.006131655613774,0.0114529147607108,0.806488506859732,0.105124657751674,0.0241726178064656,0.00758642404573038,21
"8208",1,112,0.6,0.39,0.29,0.948010428591486,0.113870980577193,0.210917577861149,0.0241926314125325,0.528703760972171,0.0667561663194231,1.35528279053865,0.161558272234364,0.0241726178064656,0.00758642404573038,21
"8209",1,112,0.6,0.46,0.52,0.167923373933381,0.0294870906115648,0.146534521532912,0.0134164972590993,-0.124759267028831,0.00368489931691264,0.449979387122607,0.0563203863149812,0.0241726178064656,0.00758642404573038,21
"8210",1,112,0.6,0.74,0.41,0.358836717474485,0.0296722300922986,0.110314726002389,0.0080675043135333,0.139594212897744,0.0141033222165489,0.572185918512371,0.0457473741729302,0.0241726178064656,0.00758642404573038,21
"8211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8212",1,116,0.6,0.31,0.33,-0.128553127947777,0.00034269784344708,0.219307838335533,0.0114166432852653,-0.573481297432522,-0.0222537721105191,0.287170536924889,0.0225505503646508,0.0793344720477838,0.00918885573325679,22
"8213",1,116,0.6,0.53,0.56,0.454308013575164,0.0325553956098502,0.216131474941098,0.012882742741361,0.0211138083583072,0.00719466714666396,0.868783030211056,0.0577228976072293,0.0793344720477838,0.00918885573325679,22
"8214",1,116,0.6,0.56,0.37,0.6543663237413,0.0540091042454208,0.16778265308681,0.012259417810115,0.320986084884643,0.0304984323437764,0.979355871980856,0.0786282796511631,0.0793344720477838,0.00918885573325679,22
"8215",1,116,0.6,0.06,0.73,-0.30595822414779,-0.0105080354239861,0.240120966446032,0.0120689593330695,-0.796984933570234,-0.0347282698625461,0.145819588607627,0.0126624345536497,0.0793344720477838,0.00918885573325679,22
"8216",1,116,0.6,0.25,0.5,-0.0346637489131406,0.00181292255525001,0.166027901520586,0.00622289708899757,-0.369865031564134,-0.0104475888324909,0.281565988674604,0.0139732095402301,0.0793344720477838,0.00918885573325679,22
"8217",1,116,0.6,0.44,0.64,-0.0997390000006611,0.00234797489580507,0.267791565138704,0.0186168291031305,-0.644483402242972,-0.0346077557282849,0.406229217925667,0.0384393108756144,0.0793344720477838,0.00918885573325679,22
"8218",1,116,0.6,0.31,0.84,-0.0867810398880235,0.000284747882925475,0.231260446556106,0.0112743870651468,-0.552493826770758,-0.0219748747343027,0.354347796111696,0.0222340547940435,0.0793344720477838,0.00918885573325679,22
"8219",1,116,0.6,0.63,0.5,0.155428830111528,0.0127183072622055,0.134152522560657,0.00786380199363696,-0.113096983754179,-0.00273933246076143,0.413010055376345,0.0281033683097963,0.0793344720477838,0.00918885573325679,22
"8220",1,116,0.6,0.06,0.85,-0.293723686410394,-0.0101145418739825,0.243651034278931,0.0124848296055437,-0.791254241225177,-0.0351312838458952,0.165264464387116,0.0138842039949999,0.0793344720477838,0.00918885573325679,22
"8221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8222",1,130,0.6,0.12,0.86,-0.0492784209989932,0.00339941121478679,0.164974867787376,0.00938488847158123,-0.380984261677556,-0.0150679891079467,0.266200028921822,0.0217538194537409,0.0630145188925443,0.00814221757603809,26
"8223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8224",1,130,0.6,0.04,0.87,-0.0785687605035306,0.00182632347142559,0.163329504576546,0.00921059986456421,-0.407735172906836,-0.0163350676562962,0.233045923703148,0.0198060384259587,0.0630145188925443,0.00814221757603809,26
"8225",1,130,0.6,0.2,0.83,-0.0620243436544367,0.00288979200547059,0.165666286370084,0.00932508580435323,-0.395986465008352,-0.0155060058816599,0.253951015595582,0.0210829224720208,0.0630145188925443,0.00814221757603809,26
"8226",1,130,0.6,0.44,0.84,-0.0683233877988549,0.00227764788028207,0.16182812436601,0.0085273807660069,-0.395624683405943,-0.0146029107627027,0.239354632679232,0.0188617738799149,0.0630145188925443,0.00814221757603809,26
"8227",1,130,0.6,0.2,0.66,-0.0527730102282694,0.00310411739628409,0.151179775895031,0.00856780238958823,-0.356491787138894,-0.0137221568185435,0.236578730674864,0.0198955975022111,0.0630145188925443,0.00814221757603809,26
"8228",1,130,0.6,0.29,0.8,-0.0293614685916779,0.00467140495707056,0.141883902577152,0.00837287276313662,-0.314788543081469,-0.0117882491956574,0.241798198516782,0.0210627010971815,0.0630145188925443,0.00814221757603809,26
"8229",1,130,0.6,0.24,0.89,-0.0561067934480622,0.00314507730577192,0.167719104504351,0.00942124928730617,-0.394188735506338,-0.0154498203988852,0.263780607450774,0.021514399060124,0.0630145188925443,0.00814221757603809,26
"8230",1,130,0.6,0.65,0.55,0.687801012074385,0.0231305800017122,0.113274284551602,0.00710706572565729,0.461821890556459,0.00929614410209466,0.906005507057959,0.037166901622991,0.0630145188925443,0.00814221757603809,26
"8231",1,130,0.6,0.48,0.29,0.013330102701707,0.00572705737568293,0.140124736202701,0.00815294316956799,-0.267581998107582,-0.0102578583447021,0.282046499098026,0.0217266863551339,0.0630145188925443,0.00814221757603809,26
"8232",1,130,0.6,0.47,0.63,0.0916405658450738,0.0124650259886287,0.131945639112299,0.00846999833403955,-0.171373133358227,-0.00402278020622721,0.346093174985422,0.0292011722718623,0.0630145188925443,0.00814221757603809,26
"8233",1,130,0.6,0.71,0.53,0.259023410365678,0.018477557617961,0.135364205232135,0.00743159234293962,-0.0122295553606867,0.00381235695779996,0.518628391159717,0.0329581758598415,0.0630145188925443,0.00814221757603809,26
"8234",1,130,0.6,0.59,0.35,0.370379615907065,0.0264991402782834,0.160416112263572,0.00928069051354849,0.0499326517183782,0.00827201976140256,0.679047524566545,0.0446711970432376,0.0630145188925443,0.00814221757603809,26
"8235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
