"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"2920","195.3.9",195,0.443727237275634,0.00186152133205906,18,47920,0.3,0.5,0.04,0.35,"0.383130568706485",0.00165978386477906,0.0500034091556168,0.000223248587479143,0.284323584224384,0.00121918826669242,0.480340640183968,0.00209433767807302
"2921","195.3.10",195,0.443727237275634,0.00186152133205906,18,47921,0.3,0.55,0.24,0.53,"0.443110235359041",0.00194136086548355,0.0509697995127517,0.000229523019721293,0.342430355115305,0.00148854975945355,0.542235584030849,0.00238829429072828
"2922","195.3.11",195,0.443727237275634,0.00186152133205906,18,47922,0.3,0.6,0.31,0.62,"0.386332982313411",0.00166215346977233,0.0488145219966999,0.000217248909734907,0.289892325130023,0.00123348495484354,0.481247600334185,0.00208510968732889
"2923","195.3.12",195,0.443727237275634,0.00186152133205906,18,47923,0.3,0.65,0.31,0.65,"0.366459242822987",0.00154124763197015,0.0464615272666368,0.000201621193108228,0.274735848724869,0.00114373013764214,0.456865328546513,0.00193408511854746
"2924","195.3.13",195,0.443727237275634,0.00186152133205906,18,47924,0.3,0.7,0.28,0.52,"0.382033365446338",0.00168359521303871,0.0517481547092495,0.000235724752120428,0.279669382780496,0.00121785190114893,0.482530028109257,0.00214192753655865
"2925","195.3.14",195,0.443727237275634,0.00186152133205906,18,47925,0.3,0.75,0.36,0.58,"0.350561459806416",0.00154349357060448,0.0424149555271606,0.000192409716490245,0.266956890811845,0.00116485074098695,0.433222130824914,0.00191908924776701
"2926","196.3",196,0.0703809607371503,0.00642945450521074,18,47926,0.3,0.05,0.58,0.13,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2927","196.3.1",196,0.0703809607371503,0.00642945450521074,18,47927,0.3,0.1,0.19,0.12,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2928","196.3.2",196,0.0703809607371503,0.00642945450521074,18,47928,0.3,0.15,0.44,0.18,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2929","196.3.3",196,0.0703809607371503,0.00642945450521074,18,47929,0.3,0.2,0.25,0.28,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2930","196.3.4",196,0.0703809607371503,0.00642945450521074,18,47930,0.3,0.25,0.55,0.25,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2931","196.3.5",196,0.0703809607371503,0.00642945450521074,18,47931,0.3,0.3,0.48,0.2,"population extinction",NA,NA,NA,NA,NA,NA,NA
