"","missingprop_autocor","parameter","mean","sd","2.5%","50%","97.5%","missingness","type","run_no"
"29","propMissAct_0.23","sigma",0.86725205515788,0.041875124105347,0.790410088688981,0.865467083210967,0.953628057223403,"MNAR","brms",1
"30","propMissAct_0.23","Intercept",0.875885213309346,0.192116844415933,0.502651887721184,0.878132705713892,1.25132176963607,"MNAR","brms",1
"31","propMissAct_0.39","b_Intercept",0.851571971989096,0.127441877536618,0.596454387876776,0.851280184876261,1.10443389924684,"MNAR","brms",1
"32","propMissAct_0.39","b_light",-0.661097221156874,0.0794674433490569,-0.81227540176137,-0.662397705309497,-0.500861008115784,"MNAR","brms",1
"33","propMissAct_0.39","b_discharge",0.0631807580926263,0.0542801882885839,-0.0429767266132728,0.0636628956384485,0.169312866762722,"MNAR","brms",1
"34","propMissAct_0.39","phi",0.613749768949141,0.0687650711832806,0.468069354804247,0.616982202259343,0.737696671915079,"MNAR","brms",1
"35","propMissAct_0.39","sigma",0.774530693867027,0.0428726379328193,0.698417442408356,0.772246759738855,0.864683842421678,"MNAR","brms",1
"36","propMissAct_0.39","Intercept",0.889259035208263,0.127521991233387,0.636107474236939,0.888275195924358,1.14302773834811,"MNAR","brms",1
"37","propMissAct_0.4","b_Intercept",0.855216116137402,0.119016042186901,0.610514715578987,0.856092826088285,1.09463811109958,"MNAR","brms",1
"38","propMissAct_0.4","b_light",-0.633102495288259,0.0862618655996686,-0.791297336898253,-0.635807294599103,-0.453217507266466,"MNAR","brms",1
"39","propMissAct_0.4","b_discharge",0.0440299894250193,0.056661500134316,-0.0665971005585722,0.04398976982896,0.156077200948683,"MNAR","brms",1
"40","propMissAct_0.4","phi",0.568103272547076,0.0856901655686649,0.377232853226077,0.575918493743687,0.712757849910044,"MNAR","brms",1
"41","propMissAct_0.4","sigma",0.782877909449608,0.0455980812558808,0.701821119754678,0.779988249459598,0.880566757704401,"MNAR","brms",1
"42","propMissAct_0.4","Intercept",0.892365930085408,0.119395803106214,0.64869465684552,0.89303442829119,1.13194613233437,"MNAR","brms",1
"43","propMissAct_0.41","b_Intercept",0.84903768647834,0.1115932101486,0.630471403503846,0.847873176404877,1.06581349700331,"MNAR","brms",1
"44","propMissAct_0.41","b_light",-0.597125856292589,0.0912322624458632,-0.768803272125295,-0.599746158946462,-0.407816518935816,"MNAR","brms",1
"45","propMissAct_0.41","b_discharge",0.0198047942220976,0.061024712512996,-0.101089814311513,0.0199540925952755,0.138172504310253,"MNAR","brms",1
"46","propMissAct_0.41","phi",0.542274644580454,0.0937931993598945,0.324899126869093,0.54955945585551,0.702719944675048,"MNAR","brms",1
"47","propMissAct_0.41","sigma",0.780099112360958,0.0455082579149979,0.698088996504952,0.778085220357383,0.875154792790574,"MNAR","brms",1
"48","propMissAct_0.41","Intercept",0.885472274403778,0.11179398325605,0.668966719779749,0.884449198923025,1.10323742503437,"MNAR","brms",1
"49","propMissAct_0.42","b_Intercept",0.862652924113166,0.105702212372786,0.647890297512636,0.86445951397291,1.07100330474284,"MNAR","brms",1
"50","propMissAct_0.42","b_light",-0.571665894153809,0.0968120521906582,-0.75224400210692,-0.57639742657517,-0.367420701588811,"MNAR","brms",1
"51","propMissAct_0.42","b_discharge",0.0140507408245179,0.0617919403911396,-0.106879964500844,0.0145865429961606,0.134852553830514,"MNAR","brms",1
"52","propMissAct_0.42","phi",0.504417207164785,0.10758105312563,0.257467850909558,0.516481293370153,0.68038858488015,"MNAR","brms",1
"53","propMissAct_0.42","sigma",0.784357732733708,0.0462871855340995,0.701370934483509,0.781147299514237,0.883606803866228,"MNAR","brms",1
"54","propMissAct_0.42","Intercept",0.89784950563283,0.106228496127282,0.68268487041616,0.898324333136565,1.11119771112384,"MNAR","brms",1
"55","propMissAct_0.42","b_Intercept",0.875906578648581,0.1064797566797,0.662492373536075,0.87762397452381,1.079328518196,"MNAR","brms",1
"56","propMissAct_0.42","b_light",-0.579131612838606,0.0924633788907755,-0.752486293630928,-0.581979809224525,-0.390930466842053,"MNAR","brms",1
"57","propMissAct_0.42","b_discharge",0.0283958107521747,0.0603284024097877,-0.0903894275195237,0.0290799745935175,0.143380650199704,"MNAR","brms",1
"58","propMissAct_0.42","phi",0.508122193372152,0.100312680565727,0.282167955878234,0.51855944607508,0.67507894008358,"MNAR","brms",1
"59","propMissAct_0.42","sigma",0.772630174960464,0.0454640154669577,0.689053361992328,0.770364229954748,0.867810276846857,"MNAR","brms",1
"60","propMissAct_0.42","Intercept",0.910652844208584,0.106806869814948,0.698147472504864,0.911392429530469,1.11651252467778,"MNAR","brms",1
"61","propMissAct_0.59","b_Intercept",1.01409112163857,0.0694300871586694,0.88087010237169,1.01236893555654,1.15449445155006,"MNAR","brms",1
"62","propMissAct_0.59","b_light",-0.148775662503706,0.106854976364507,-0.377307098067109,-0.143741716659028,0.0460988840862016,"MNAR","brms",1
"63","propMissAct_0.59","b_discharge",0.0608065695100767,0.0626721038895154,-0.0615870366890345,0.0604952337284755,0.184275964871226,"MNAR","brms",1
"64","propMissAct_0.59","phi",0.155462461246717,0.193671776287386,-0.201682616770768,0.148564201095632,0.540056552630995,"MNAR","brms",1
"65","propMissAct_0.59","sigma",0.657753967546151,0.0458240366100168,0.575730505192655,0.655356480430004,0.754074685175626,"MNAR","brms",1
"66","propMissAct_0.59","Intercept",1.0195787753014,0.0701849841321717,0.886427996069647,1.01729569236691,1.16398443938109,"MNAR","brms",1
"67","propMissAct_0.59","b_Intercept",1.00499627945144,0.0634309259381267,0.883489667306531,1.00426184164013,1.13199517214444,"MNAR","brms",1
"68","propMissAct_0.59","b_light",-0.0716412008893265,0.0992384468325162,-0.282054026941233,-0.0670567454710589,0.110365424127166,"MNAR","brms",1
"69","propMissAct_0.59","b_discharge",0.0491324896823834,0.0612752506644854,-0.0703762672056332,0.0485691263740865,0.170363808716804,"MNAR","brms",1
"70","propMissAct_0.59","phi",-0.0162984664314542,0.195348247573742,-0.338491509056154,-0.0370669080469435,0.421561577358441,"MNAR","brms",1
"71","propMissAct_0.59","sigma",0.652799243417437,0.044296906101515,0.572838780137584,0.650401329407236,0.748275849959219,"MNAR","brms",1
"72","propMissAct_0.59","Intercept",1.00636319542473,0.0643874765298553,0.885701615465226,1.00474285454873,1.13536933950071,"MNAR","brms",1
"73","propMissAct_0.62","b_Intercept",1.00904385327973,0.06719563465112,0.8796207318445,1.0081969449504,1.14610664083161,"MNAR","brms",1
"74","propMissAct_0.62","b_light",-0.169116434232474,0.0946760047065253,-0.359451852031346,-0.166469835875985,0.0115076558532265,"MNAR","brms",1
"75","propMissAct_0.62","b_discharge",0.0089136331658015,0.0597208640028007,-0.109123730497637,0.00871574042237489,0.124558453968601,"MNAR","brms",1
"76","propMissAct_0.62","phi",0.154940565714916,0.179905451624099,-0.192146564105069,0.156438297634491,0.499318730996224,"MNAR","brms",1
"77","propMissAct_0.62","sigma",0.617186697661393,0.0434148944300203,0.537207044621443,0.61476705978974,0.707312236848701,"MNAR","brms",1
"78","propMissAct_0.62","Intercept",1.01915042353525,0.067864596334434,0.888164353359526,1.01848750219354,1.15722689624632,"MNAR","brms",1
"79","propMissAct_0.62","b_Intercept",1.00949568791058,0.0652316203133238,0.883714715203828,1.00823752134739,1.14005875198641,"MNAR","brms",1
"80","propMissAct_0.62","b_light",-0.13707507497487,0.0895238704153813,-0.322171271213215,-0.135121886983951,0.0323776700316552,"MNAR","brms",1
"81","propMissAct_0.62","b_discharge",0.0204453640315565,0.0609533428415804,-0.0990145722523029,0.0205697990236564,0.137999182945941,"MNAR","brms",1
"82","propMissAct_0.62","phi",0.13629988569361,0.165687926094011,-0.180082629971599,0.134041284225306,0.460610410948025,"MNAR","brms",1
"83","propMissAct_0.62","sigma",0.611506756808262,0.0429568339445281,0.534282740758719,0.609686926621569,0.701872834563719,"MNAR","brms",1
"84","propMissAct_0.62","Intercept",1.0168379326247,0.0657412278219475,0.889715763857113,1.01526940118708,1.14868731355141,"MNAR","brms",1
"85","propMissAct_0.66","b_Intercept",0.968664995017941,0.0587446209758307,0.855218883735621,0.967739380878068,1.08487576732883,"MNAR","brms",1
