"","site_name","date","GPP","GPP.lower","GPP.upper","GPP.Rhat","ER","ER.lower","ER.upper","K600","K600.lower","K600.upper","temp","Q","light","velocity","doy","year","site_year","GPP_temp"
"362900","nwis_05435943",2012-10-21,2.40177354616838,1.86887307350753,2.93899292019437,1.00169573986034,-6.85126803033971,-8.45911246486891,-5.38159632672494,10.4339301172415,7.97900980030804,12.9166248334242,13.5354166666667,0.274466938890625,146.224125,0.256103461063882,295,2012,"nwis_05435943_2012",2.40177354616838
"362901","nwis_05435943",2012-10-22,-0.0560979329721063,-0.448610746022682,0.341343307524739,0.998965696062035,-1.42269240745166,-3.75084469174384,0.168370039016445,1.89168647327634,0.155814842770191,4.60942133902517,14.3135416666667,0.436315417525,77.70625,0.296260694433326,296,2012,"nwis_05435943_2012",0.0497870683678639
"362902","nwis_05435943",2012-10-23,0.903477248263598,0.526003764321429,1.29045543690749,1.00000924451179,-9.90379104808425,-13.3305163645535,-6.61728320881569,11.8128878089904,7.7326376032776,16.0267735134656,14.8697916666667,0.44156583290625,116.151791666667,0.300483132587972,297,2012,"nwis_05435943_2012",0.903477248263598
"362903","nwis_05435943",2012-10-24,2.79960843067655,2.29958483239914,3.29432798964517,0.999630628745986,-7.6086151258091,-9.14699368402855,-6.09719385666445,9.04914246674409,7.03027008468925,10.9325216662508,16.5104166666667,0.33537765665625,136.712915833333,0.274038175386899,298,2012,"nwis_05435943_2012",2.79960843067655
"362904","nwis_05435943",2012-10-25,0.943730772520222,0.434382269671777,1.48178486197267,0.99901944903902,-7.01239116641112,-10.4785452386865,-3.47141096120277,8.86750121263175,4.57173015734504,13.0143487416354,14.7354166666667,0.3539605875,104.599458333333,0.277723150410996,299,2012,"nwis_05435943_2012",0.943730772520222
"362905","nwis_05435943",2012-10-26,2.09372530013507,1.66289934484548,2.48098485186462,0.998569619558304,-5.62646727846483,-6.87291145389077,-4.32660027899307,8.91035653452474,6.77744575526675,10.9506304537345,11.8416666666667,0.34127699978125,140.12275,0.275647915433619,300,2012,"nwis_05435943_2012",2.09372530013507
"362906","nwis_05435943",2012-10-27,2.28480112242709,1.7873526032357,2.76770717148324,1.00048495353757,-5.64314320924472,-6.96326912691003,-4.34986407143483,10.068522800937,7.63676225944572,12.5706289177903,10.7770833333333,0.283610920734375,127.865125,0.258951566526036,301,2012,"nwis_05435943_2012",2.28480112242709
"362907","nwis_05435943",2012-10-28,2.23941513954742,1.79461760518211,2.73759969497822,1.00471007864667,-6.15543893670506,-7.5763849322451,-4.7823797074765,11.8112057373481,9.08747573115337,14.4773994988297,10.64375,0.2693640070875,137.60475,0.25446815829712,302,2012,"nwis_05435943_2012",2.23941513954742
"362908","nwis_05435943",2012-10-29,2.12668662366974,1.62103035515455,2.59423579407491,1.00161432789048,-5.20902287241396,-6.48466225952508,-3.98515395081155,10.3255809881495,7.75532294000893,12.9960449662349,10.59375,0.2615768741625,136.813958333333,0.251947949123116,303,2012,"nwis_05435943_2012",2.12668662366974
"362909","nwis_05435943",2012-10-30,2.46088008891996,1.97568568698214,2.93530388777464,1.0020501226052,-4.81385139336644,-5.89811173928424,-3.73375189443139,9.85973478724302,7.54285214139947,12.2131254841895,10.3385416666667,0.2615768741625,134.645916666667,0.251950451609552,304,2012,"nwis_05435943_2012",2.46088008891996
