"","missingprop_autocor","parameter","mean","sd","2.5%","50%","97.5%","missingness","type","run_no","...1"
"1427","propMissAct_0.43_autoCorr_0.48","sigma",0.470885619845565,0.016673256768018,0.439291586773605,0.470431517600359,0.504801370507661,"MAR","brms",6,NA
"1428","propMissAct_0.43_autoCorr_0.48","Intercept",0.526279470774192,0.181749308037154,0.148268723952251,0.53406880605032,0.866703469163447,"MAR","brms",6,NA
"1429","propMissAct_0.48_autoCorr_0.53","b_Intercept",-0.539207499367226,0.174354863160788,-0.893363599443254,-0.536332333984167,-0.20782736731658,"MAR","brms",6,NA
"1430","propMissAct_0.48_autoCorr_0.53","b_light",1.07157600924286,0.170808414451561,0.737380886998991,1.07182587917854,1.40583305312795,"MAR","brms",6,NA
"1431","propMissAct_0.48_autoCorr_0.53","b_Q",-0.728260452635019,0.0740926596830377,-0.872229812922718,-0.727636330437565,-0.579862771221662,"MAR","brms",6,NA
"1432","propMissAct_0.48_autoCorr_0.53","phi",0.872049113507046,0.0247367436014759,0.822462609547346,0.872736242076445,0.91899951699563,"MAR","brms",6,NA
"1433","propMissAct_0.48_autoCorr_0.53","sigma",0.467555421188568,0.0173563061374703,0.435216680536652,0.466863455273537,0.503553020041885,"MAR","brms",6,NA
"1434","propMissAct_0.48_autoCorr_0.53","Intercept",0.646198355637609,0.145555574782446,0.336119615733054,0.653278167329976,0.912939352618768,"MAR","brms",6,NA
"1435","propMissAct_0.5_autoCorr_0.5","b_Intercept",-0.440590971852284,0.205303110104418,-0.869205186026338,-0.43378609599535,-0.0561502630162763,"MAR","brms",6,NA
"1436","propMissAct_0.5_autoCorr_0.5","b_light",0.925250405712657,0.178066271298635,0.573477456150995,0.924670154192782,1.27062940767605,"MAR","brms",6,NA
"1437","propMissAct_0.5_autoCorr_0.5","b_Q",-0.59695383609061,0.0751557507379625,-0.740786067364368,-0.597597232492739,-0.449076204314515,"MAR","brms",6,NA
"1438","propMissAct_0.5_autoCorr_0.5","phi",0.896304066204561,0.0212383698199097,0.85325283881719,0.896842930996941,0.936344998046839,"MAR","brms",6,NA
"1439","propMissAct_0.5_autoCorr_0.5","sigma",0.465690676431473,0.0182982575720775,0.431661618723248,0.465013109450563,0.502890501959259,"MAR","brms",6,NA
"1440","propMissAct_0.5_autoCorr_0.5","Intercept",0.554124912782616,0.177611124861745,0.179276623628874,0.56254251298378,0.886544822641381,"MAR","brms",6,NA
"1441","propMissAct_0.59_autoCorr_0.49","b_Intercept",-0.703133472641618,0.221457870935686,-1.16794015270074,-0.69416408114218,-0.291051047426593,"MAR","brms",6,NA
"1442","propMissAct_0.59_autoCorr_0.49","b_light",1.08640065545,0.19061780145537,0.712799428637374,1.08656145349558,1.45975288307498,"MAR","brms",6,NA
"1443","propMissAct_0.59_autoCorr_0.49","b_Q",-0.72411795776168,0.076381402420525,-0.87310968532395,-0.723759715019793,-0.574855391705567,"MAR","brms",6,NA
"1444","propMissAct_0.59_autoCorr_0.49","phi",0.90471168783897,0.0214987670359941,0.86064262797994,0.905525679102532,0.944798966080699,"MAR","brms",6,NA
"1445","propMissAct_0.59_autoCorr_0.49","sigma",0.466999610366674,0.0207215085386782,0.428641720403326,0.466332675792487,0.510190395747618,"MAR","brms",6,NA
"1446","propMissAct_0.59_autoCorr_0.49","Intercept",0.485811075737949,0.197124247070925,0.0655212632738565,0.4987181518806,0.840000202173531,"MAR","brms",6,NA
"1447","propMissAct_0.67_autoCorr_0.49","b_Intercept",-0.393637658409634,0.243905277515492,-0.909201677909175,-0.384252969982107,0.0522358299509463,"MAR","brms",6,NA
"1448","propMissAct_0.67_autoCorr_0.49","b_light",0.605076811511233,0.222750432985438,0.1617840074098,0.604822121372375,1.04031154822951,"MAR","brms",6,NA
"1449","propMissAct_0.67_autoCorr_0.49","b_Q",-0.658510503862446,0.0938986218283458,-0.839823540608388,-0.658562063268169,-0.471447165241826,"MAR","brms",6,NA
"1450","propMissAct_0.67_autoCorr_0.49","phi",0.90969227785357,0.0236347197404588,0.861026553836831,0.910396911078981,0.953431443073987,"MAR","brms",6,NA
"1451","propMissAct_0.67_autoCorr_0.49","sigma",0.443967097590266,0.0228751883972822,0.402576345526606,0.442869433077348,0.49177724278912,"MAR","brms",6,NA
"1452","propMissAct_0.67_autoCorr_0.49","Intercept",0.499404916515013,0.207655438158167,0.0413098493271044,0.515867558128672,0.864812630574759,"MAR","brms",6,NA
"1453","propMissAct_0.66_autoCorr_0.5","b_Intercept",-0.298540046143824,0.209531220212811,-0.726019721477238,-0.292345447177256,0.101632898875926,"MAR","brms",6,NA
"1454","propMissAct_0.66_autoCorr_0.5","b_light",0.937867643428655,0.203787449426731,0.546072178983776,0.935334211772788,1.34415735565556,"MAR","brms",6,NA
"1455","propMissAct_0.66_autoCorr_0.5","b_Q",-0.484584313400846,0.0883947057718203,-0.659149598406547,-0.484494645463873,-0.308583953733333,"MAR","brms",6,NA
